Description fiche : "Compte rendu structuré ACP colon"

Requete SQL
select count(*), HISTO, P, T, N, M from ANA138 group by HISTO, P, T, N, M

COUNT(*);HISTO;P;T;N;M
1;.;2;1;1;1
1;adénome tubuleux en dysplasie de bas grade et très focalement de haut grade;1;1;1;1
1;adénome tubulovilleux en dysplasie de bas grade;1;1;1;1
1;3 polypes adéno-villeux avec dysplasie de bas grade et de haut grade.;2;1;1;3
1;après mucosectomie, absence de reliquat lésionnel;1;1;1;3
1;absence de lésion tumorale vivave;2;1;1;4
1;après traitement, absence de lésion tumorale vivace résiduelle;2;1;1;4
1;pas de tumeur retrouvée;2;1;1;5
1;adénome tubulovilleux avec dysplasie de haut grade (catégorie 4-1 de la classification de Vienne modifiée);2;1;4;4
1;dysplasie de haut grade (carcinome in situ) sur adénome;1;2;1;1
1;adénocarcinome lieberkühnien bien différencié de 6 mm de grand axe par transformation d'un volumineux adénome villeux en dysplasie majoritairement de haut grade de 33 mm de grand axe localisé à l'angle gauche..;1;2;1;3
1;Adénocarcinome lieberkuhnien bien différencié qui infiltre la sous-muqueuse;1;3;1;1
1;cicatrice de polypectomie sans reliquat tumoral ou adénomateux;1;3;1;1
1;adénocarcinome lieberkühien bien différencié;1;3;1;3
1;adenocarcinome lieberkuhnien bien à moyennement différencié;1;3;1;3
1;adenocarcinome lieberkühnien moyennement différencié;1;3;1;3
1;adénocarcinome de type intestinal (NOS) bien à moyennement différencié;1;3;1;4
1;adénocarcinome lieberkuhnien bien différencié;2;3;1;4
1;adénocarcinome lieberkühnien bien différencié;1;3;1;4
1;adénocarcinome lieberkuhnien moyennement différencié développé sur un adénome;1;3;1;4
1;cicatrice de polypectomie avec minime reliquat adénomateux avec dysplasie de haut grade;2;3;1;4
1;adénocarcinome Lieberkühnien moyennement différencié.;1;3;4;4
1;adénocarcinome lierberkuhnien moyennement différencié;1;3;4;4
1;adénocarcinome lieberkühnien bien différencié;2;3;6;3
1;2 tumeurs: Adénocarcinome lieberkühnien moyennement différencié et un carcinome colloïde;1;4;1;1
1;adénocarcinome colloide;2;4;1;1
1;adénocarcinome de type intestinal bien différencié avec contingent mucineux de 10%;1;4;1;1
1;adénocarcinome liberkhunien moyennement différencié;1;4;1;1
1;adénocarcinome liberkühnien bien différencié développé sur adénome tubulo-villeux en dysplasie de haut grade;2;4;1;1
1;adénocarcinome lieberkuhnien bien différencié;1;4;1;1
1;adénocarcinome lieberkühnien bien différencié.;1;4;1;1
1;adénocarcinome lieberkuhnien moyennement différencié;1;4;1;1
2;adénocarcinome Lieberkühnien moyennement différencié;1;4;1;1
1;adénocarcinome de type intestinal bien à moyennement différencié;1;4;1;2
1;adénocarcinome lieberkühnien bien différencié;2;4;1;2
1;adénocarcinome lieberkühnien moyennement différencié;2;4;1;2
1;adénocarcinome lieberkühnien moyennement différencié.;2;4;1;2
1;2 adenocarcinomes lieberkuhniens infiltrants par transformation d'adénomes tubulo-villeux en dysplasie de haut grade + 1 adenome tubulo-villeux en dysplasie de haut grade confinant à de l'adenocarcinome intra-muqueux..;1;4;1;3
1;Adénocarcinome leiberkühnien peu différencié;1;4;1;3
1;adénocarcinome lieberkhunien bien différencié;2;4;1;3
1;Adénocarcinome lieberkhunien moyennement différencié;1;4;1;3
1;Adénocarcinome lieberkuhnien bien différencié;1;4;1;3
1;adénocarcinome lieberkühnien bien différencié;1;4;1;3
1;adénocarcinome lieberkühnien bien différencié développé sur un volumineux adénome tubulo-villeux;1;4;1;3
1;adenocarcinome lieberkuhnien bien diiérencié (contingent mucineux estimé à moins de 30%);1;4;1;3
1;adénocarcinome lieberkuhnien infiltrant bien différencié;1;4;1;3
1;adénocarcinome lieberkühnien moyennement à peu différencié;1;4;1;3
2;adénocarcinome lieberkuhnien moyennement différencié;1;4;1;3
1;adénocarcinome lieberkuhnien moyennement différencié;2;4;1;3
2;adénocarcinome lieberkühnien moyennement différencié;1;4;1;3
1;adénocarcinome lieberkühnien moyennement différencié;2;4;1;3
1;adénocarcinome lieberkühnien moyennement différencié avec contingent peu différencié (10% environ de la surface tumorale) et contingent colloïde/ mucineux (à 20% environ).;1;4;1;3
1;adénocarcinome peu différencié avec contingent colloïde;1;4;1;3
1;ADK lieberkuhnien bien différencié;1;4;1;3
1;adénocarcinome bien différencié;1;4;1;4
1;adénocarcinome de type intestinal bien à moyennement différencié;1;4;1;4
1;adénocarcinome de type intestinal moyennement à peu différencié;1;4;1;4
1;adenocarcinome lieberkhunien peu différencié;1;4;1;4
1;adénocarcinome lieberkuhnien bien différencié;1;4;1;4
1;adénocarcinome lieberkuhnien moyennement différencié développé sur un adénome tubuleux avec dysplasie de haut grade étendu sur 65 mm sur le versant colique de la valvule de Bauhin;1;4;1;4
1;adénocarcinome primitif moyennement à peu différencié;1;4;2;1
1;tumeur neuroendocrine bien différenciée de grade histologique G1;1;4;3;3
1;adénocarcinome lierberkuhnien moyennement différencié;2;4;5;2
1;adénocarcinome lieberkuhnien bien différencié;1;4;5;4
1;adénocarcinome lieberkuhnien moyennement différencié;1;4;5;4
1;adénocarcinome lierberkuhnien moyennement différencié;1;4;5;4
1;adénocarcinome lieberkühnien bien différencié.;1;4;6;4
1;adénocarcinome lieberkühnien moyennement différencié;1;4;6;4
1;carcinome mixte avec contingent neuro-endocrine à grandes cellules (environ 35%) et contigent lieberkuhnien bien différencié (environ 65 %);1;4;6;4
1;adénocarcinome peu différencié avec des secteurs en bague à chaton et des secteurs colloïdes;1;4;6;5
1;adénocarcinome moyennement différenciée;2;4;8;2
1;adenocarcinome lieberkuhnien moyennement différencié;2;4;8;4
1;adénocarcinome lieberkuhnien bien différencié développé sur un adénome tubulo-villeux de haut grade dégénéré.;2;4;8;5
1;adénocarcinome de type intestinal (NOS) bien à moyennement différencié;1;5;1;1
1;adénocarcinome de type intestinal (NOS) bien différencié;1;5;1;1
1;adénocarcinome de type intestinal bien différencié avec contingent mucineux de 30%;1;5;1;1
1;adénocarcinome lieberkhünien bien à moyennement différencié;1;5;1;1
2;adénocarcinome lieberkhunien moyennement différencié;1;5;1;1
1;adénocarcinome lieberkuhnien  moyennement différencié;1;5;1;1
2;adénocarcinome lieberkuhnien bien à moyennement différencié;1;5;1;1
2;adénocarcinome lieberkühnien bien différencié;1;5;1;1
1;adénocarcinome lieberkühnien bien différencié pour la tumeur principale;1;5;1;1
1;Adénocarcinome lieberkuhnien moyennement différencié;1;5;1;1
1;adénocarcinome lieberkuhnien moyennement différencié;2;5;1;1
4;adénocarcinome lieberkühnien moyennement différencié;1;5;1;1
1;adénocarcinome lieberkuhnien moyennement différencié avec contingent colloïde;1;5;1;1
